id	muchik	spanish
289	ane%20%28B%29,%20anik%20%28Bas%29,%20an%20%28C%29,%20%C3%A1nek,%20%C3%A9nek	casa%0A-%20Rinc%C3%B3n%20de%20la%20casa%20=%20kechik%0A-%20A%20mi%20casa%20voy%20=%20enec%20oi%C3%B1%20t%C3%A6c%20%28V%29%0A-%20A%20casa%20de%20Mar%C3%ADa%20=%20Mariang%20lec%0A-%20Casa%20de%20la%20luna%20=%20Sic%C3%A1n
290	i%C3%B1icuc,%20i%C3%B1ikuk	casadera
291	casaro%20%28C%29	casado%0A-%20Hombre%20casado%20=%20casaro%20%C3%B1of%C3%A6n%20%28V%29%0A-%20Yo%20con%20ella%20deseamos%20casarnos%20=%20moi%C3%B1%20totang%20loc%20casar%20%28V%29
292	jen%20%28M%29	cautivar,%20atar
293	n%C3%A1mpa	cay%C3%B3,%20cae
294	eishda%20%28B%29	caza
295	llepc%20%28C%29	cebar,%20amansar
296	not%C3%A6n%20%28C%29,%20not%C3%A4n%20%28M%29	cejas
297	jumik%20%28M%29,%20jumir%20%28M%29	cementerio
298	oijop%20%28M%29	ceniza
299	pal%C3%A6c,%20chi%C3%A6ng	centena
300	kem%20%28M%29,%20kemp	ce%C3%B1ir
301	metna%20%28B%29,%20menana%20%28B%29,%20m%C3%A4nana%20%28M%29	cerca,%20muy%20de%20cerca,%20cercano
302	metna%20%28B%29,%20m%C3%A4nana	cercano
303	javan	cerdo
304	%C3%B1itu%20%28M%29%28C%29,%20%C3%B1itung%20%28C%29	cerebro
305	pong,%20pongiio	cerro,%20piedra
306	japa%20%28M%29,%20lapa%20%28M%29%28B%29	cesto,%20canasto
307	ssoj%20%28M%29	ciego
308	sheim%20%28L%29,%20sh%C3%ADem%20%28V%29,%20kuij%20%28M%29,%20kusia,%20cu%C3%A7ia%20%28V%29	cielo
309	pal%C3%A6c%20%28C%29,%20n%C3%A1page%20%28B%29,%20nap%C3%A6ss%20%28C%29	cien
310	samissak%20%28M%29,%20samiss%C3%A4r%20%28M%29	ciencia,%20filosof%C3%ADa,%20conocimiento
311	na%20pal%C3%A6c%20%28C%29,%20napacher%20%28B%29	ciento
312	morai%C3%B1%20%28M%29	ciertamente
313	jomp%C3%A4k%20%28M%29	cierto,%20seguro
314	xllom%20pecna%20p%C3%A6n%20%28C%29,%20jomp%C3%A4k%20%28M%29	cierto,%20verdad%0A-%20Por%20cierto,%20de%20versa%20=%20xllom%20p%C3%A6cna%20p%C3%A6n%20%28V%29
315	fon%20%28M%29	cima,%20punta,%20extremidad
316	egmets%20%28Bas%29,%20%C3%A9ijmess%20%28B%29	cinco
317	orre%20%28B%29%28SCH%29	ciruela%20de%20fraile%20%28fruto%29
318	tsuk%20%28M%29	claro%20%28color%29
319	kess%20%28M%29,%20queso%20%28C%29	clavar,%20fijar
320	m%C3%A4t,%20karrm	conocer,%20hervir
321	choll%20%28B%29,%20koch%20koch	cochayuyo
322	nino	cocina
323	nin%20%28M%29,%20ni%C3%B1	cocinar
324	noksi%20%28M%29,%20iam%20%28C%29	codicioso
325	motzh%C3%A6n%20%28C%29	codo
326	mac%C9%A5%20%28M%29	coger,%20resumir
327	quejtan	cojo
328	maneque%20%28Z%29	coito
329	sonsom	cola,%20rabo
330	kop%20%28M%29	coleccionar
331	chamass%C3%A4k%20%28M%29	c%C3%B3lera
332	secfane%20%28K-H%29,%20sec%20secfane%20%28L%29%28Q%29	col%C3%A9rica,%20embarazada
333	ch%C3%A4tu,%20chetu	col%C3%A9rico,%20furioso
334	kinde	colibr%C3%AD
335	pucho	colilla%20de%20cigarro,%20sin%20valor,%20peque%C3%B1a%20cantidad
336	foj%20%28M%29,%20fojei%C3%B1%20%28M%29,%20kuts%20%28M%29	colocar,%20poner
337	cuyupe%20%28K%29,%20cucho	colorado,%20pleitista
338	manuk%20%28M%29,%20manur%20%28M%29	comedor
339	man%20%28C%29%28M%29%28L%29%28K%29,%20secque%20%28B%29,%20xllon%20%28C%29	comer%0A-%20De%20comer%20=%20aian%20xllonquic%20%28V%29%0A-%20Has%20de%20comer%20=%20aiax%20xllonquic%20%28V%29%0A-%20Preparar%20comida%20=%20llong
340	funo	comer%0A-%20No%20puede%20comer%20=%20%C3%A6nta%20funoic%20%28V%29%0A-%20T%C3%BA%20me%20das%20de%20comer%20=%20tzh%C3%A6ng%20ai%C3%B1%20funoquen%0A-%20Ya%20comieron%20=%20funo%20c%C9%A5%C3%A6m%20%28V%29%0A-%20Yo%20como%20=%20funei%C3%B1%0A-%20El%20que%20come%20=%20funop%C3%A6c%20%28V%29,%20funo%20p%C3%A6c%20%28V%29%0A-%20Soler%20comer%20=%20funo%20p%C3%A6c%20oi%C3%B1%20%28V%29%0A-%20Quiero%20comer%20=%20funo%20n%C3%A6m%20ei%C3%B1%20loc%0A-%20Est%C3%A1n%20comiendo%20=%20funo%20c%C9%A5%C3%A6m%20ang%20%28V%29
341	xllongquic,%20xllonquic	comida
342	%C2%BFem%3F%20%C2%BFemio%3F%20%28C%29%28M%29%20%C2%BFam%3F	%C2%BFc%C3%B3mo%3F%20%28pron.%20interr.%29
343	nerr%C3%A6rr%20%28C%29,%20ners%20%28V%29	como%20a%20la%20oraci%C3%B3n%20%28loc.%20adv.%29
344	emio%20%28V%29%28M%29,%20em%20%28C%29%28V%29	c%C3%B3mo,%20de%20qu%C3%A9%20manera
345	em%20narna%20%28V%29	c%C3%B3mo%20es%20posible%20%28loc%29
346	m%C3%A6n%20%28C%29%28V%29,%20m%C3%A4n%20%28M%29	c%C3%B3mo,%20por%20%28prep%29
347	can%20%28C%29,%20kan%20%28M%29	c%C3%B3mo,%20que%20%28conj.%29%28pron.%20relat.%29
348	%C2%A1emio%21%20%28C%29	%C2%A1c%C3%B3mo%21%20%28admiraci%C3%B3n%29
349	%C2%BFemer%20pokur%20tsan%3F%20%28WL%29,%20%C2%BFei%C3%B1%20%C3%A6%20poc%3F%20%28C%29	%C2%BFc%C3%B3mo%20te%20llamas%3F
350	moi%C3%B1%20m%C3%A6no%20%28V%29	como%20yo
351	machko%20ang	completa
352	jir%20%28M%29,%20xillir%20%28C%29	completamente,%20absolutamente,%20totalmente
353	machko	completar
354	ssias%20%28M%29	comunicaci%C3%B3n,%20noticia
355	tot%20%28V%29	con,%20conmigo
356	len%20%28V%29,%20cionger	con%0A-%20Con%20%28ablativo%29%20=%20tana%20%28V%29
357	er	con%20%28instrumento%29%28con%20palo,%20con%20piedra,%20...%29%0A-%20Con%20el%20palo%20me%20dio%20=%20puper%20of%20c%C3%A6tzhc%C3%A6do%20moi%C3%B1%20%28V%29
358	fai%C3%B1%20t%C3%A6cna%20%28C%29	con%20mentira%20%28adv%29
359	siep%20%28M%29	concebir,%20fecundar
360	%C3%B1or%20%28M%29	concebir%20un%20ni%C3%B1o
361	tscharya	concha
362	osincois%20%28L%29	conejo
363	confessar%20ei%C3%B1%20loc%20%28V%29	confesar,%20me%20estoy%20confesando
364	man%20%28M%29	conforme
365	pol%20%28C%29,%20poj%20%28M%29	confundir
366	tot%20%28C%29	conmigo,%20con
367	xamei%C3%B1,%20xamaz,%20xam%20adai%C3%B1%20%28V%29	conocer,%20quitar
368	samiss%C3%A4k%20%28M%29,%20samiss%C3%A4r%20%28M%29,%20samissk%C3%A4ro%20%28M%29	conocimiento
369	%C2%BFich%C3%A9r%3F,%20%C2%BFecher%3F%20%28B%29	%C2%BFcon%20qu%C3%A9%3F
370	%C2%BFei%C3%B1%20len%20oz%3F	%C2%BFcon%20qui%C3%A9n%20est%C3%A1s%3F%0A-%20Con%20mi%20mujer%20=%20son%C3%A6ng%20len%20%28C%29
371	m%C3%A4n%20%28M%29	consecuentemente%20%28adv%29
372	ep%20kessek%20%28M%29,%20epk%C3%A4ssak%20%28M%29	consejo,%20est%C3%ADmulo,%20acicate
373	kais%20%28M%29,%20caix%20%28C%29	conservar,%20mantener,%20sustentar
374	akissek%20%28M%29,%20akiss%C3%A4k	consideraci%C3%B3n,%20contemplaci%C3%B3n
375	ec%20%28C%29,%20ek%20%28M%29	considerar,%20creer,%20decir,%20nombrar
376	mich%C3%A6c%20ang	contesta,%20responde
377	mich%C3%A6c	contestar,%20responder
378	tzhang%20len%20%28V%29	contigo
379	tot%20%28M%29	contra%20%28oposici%C3%B3n%29
380	xllip%C3%A6	conversaci%C3%B3n
381	catenic%20%28KH-PK%29,%20catenique%20%28K%29	co%C3%B1o
382	cham%20%28M%29	copioso
383	shegi%20%28B%29	copo%20%28para%20hilar%29
384	%C3%BArrek	coral%20pardo,%20remedio%20para%20bajar%20la%20leche%20materna
385	%C3%A7ets,%20c%C9%A5%C3%A6t%C3%A6ss%20%28C%29	coraz%C3%B3n
386	jut%20%28M%29,%20jat	cortar
387	jantu%20%28M%29,%20jatung%C3%B3%20%28M%29	corteza
388	jatop%20%28M%29	corto,%20breve
389	c%C9%A5epuc%20%28C%29,%20chepuk%20%28M%29	corvas
390	tzh%C3%A6c%C3%A6m%20%28C%29,%20tsokum%20%28M%29	correr%0A-%20La%20corrieron%20=%20cialam%20c%C9%A5%C3%A6m%0A-%20No%20puede%20correr%20=%20%C3%A6nta%20tzh%C3%A6c%C3%A6m%20%28V%29
391	tzh%C3%A6c%C3%A6m,%20tsukumei%C3%B1	correr%0A-%20Yo%20corro%20=%20tzh%C3%A6c%C3%A6m%20ei%C3%B1%0A-%20Quiero%20correr%20=%20tzh%C3%A6c%C3%A6m%20n%C3%A6m%20ei%C3%B1%20loc%20%28V%29
392	xai%C3%B1g	cosa,%20art%C3%ADculo
393	p%C3%A6i%C3%B1,%20poi%20az%20%28V%29	cosa,%20dar%20una%20cosa%0A-%20Cosa%20peque%C3%B1a%20=%20tzhuto,%20tzhutiio%0A-%20Cosa%20amada%20=%20c%C9%A5%C3%A6co%0A-%20Cosa%20tra%C3%ADda%20=%20metedo%20%28C%29
394	pe%C3%B1o,%20pe%C3%B1iio	cosa%20buena
395	siupei%C3%B1	coser
396	sai%20%28M%29,%20saiei%C3%B1	costar
397	laftec%20%28C%29,%20lastik%20%28M%29	costillas
398	chizc%C3%A6r	costumbre
399	chikaka%20%28M%29	cr%C3%A1neo
400	Aiap%C3%A6c%20%28C%29,%20Aiap%C3%A4k%20%28M%29	creador
401	ai%20%28M%29,%20ci%C3%A6p%20%28C%29	crear
402	m%C3%BCt%20%28M%29	crecer
403	llikss%C3%A4k%20%28M%29	creencia,%20veneraci%C3%B3n
404	exei%C3%B1,%20ai%C3%A6p%20%28C%29,%20ek%20%28M%29	creer,%20decir
405	s%C3%A4llpuch	crep%C3%BAsculo
406	chelli%20%28M%29	crespo
407	sa%C3%B1%20%28M%29	cresta%20%28de%20ave%29
408	yan%C3%A1%20%28C%29,%20iana%20%28M%29,%20yan%C3%A4ngo%20%28V%29	criado%20%28el%20criado%20familiar%29,%20sirviente
409	%C3%B1iest%20%28K%29,%20%C3%B1ess%20%28L%29	criatura
410	chopcoi%C3%B1	criticar
411	r%C3%A4m%20%28M%29	crudo
412	exllec%20%28C%29%28V%29,%20cie%20%28V%29	cuando%20%28conj.%29%0A-%20Desde%20cuando%20=%20exllec%20ixna%20%28V%29
413	%C2%BFejek%3F%20%28M%29	%C2%BFcu%C3%A1ndo%3F%20%28pron.%20interr.%29
414	%C3%A6fxiass%20%28C%29%28V%29	cuantas%20veces
415	iching%20pochh%20%28B%29	cuanto%20vale
416	nop%C3%A4t%20%28M%29,%20nopt%20%28B%29,%20nepete%20%28Q%29	cuatro
417	%C3%B1ap%20%28M%29,%20nepei%C3%B1	cubrir,%20tapar
418	tevo%20%28L%29,%20tero%20%28Q%29,%20j%C3%BCn%20%28M%29,%20gin%20%28B%29,%20jime%20%28Kos%29	cuchara
419	ajtarr%20%28M%29,%20cengque%20%28C%29	cuello,%20garganta
420	kachi	cuerno
421	c%C9%A5%C3%A6f%C3%A6t%20%28C%29,%20chuvet%20%28M%29,%20tsuv%C3%A4t%20%28M%29	culebra
422	%C3%B1angecuio%20c%C9%A5%C3%A6f%C3%A6t	culebra%20macho
423	pot%20%28V%29,%20potes%20%28%28L%29,%20%C3%B1itir%20%28C%29%28M%29	culo,%20nalgas,%20asentaderas
424	meip%20%28M%29	culpar
425	funep%20%28M%29	cumbre,%20front%C3%B3n
426	akik	cumplea%C3%B1os%0A-%20Vamos%20al%20cumplea%C3%B1os%20=%20%C3%A1mots%20okiken
427	m%C3%A4chko%20%28M%29,%20mac%C9%A5co%20%28C%29	cumplir%0A-%20Cumplir,%20efectuar%20=%20m%C3%A4chko%0A-%20Cumplir,%20ajustar%20cuentas%20=%20mac%C9%A5%20cop%C3%A6%20coi%C3%B1%20%28V%29
428	pon%20%28C%29,%20poneio,%20ponen%20%28V%29	cu%C3%B1ado,%20cu%C3%B1ada
429	paij%20%28M%29	curvo,%20torneado
430	uish%20%28B%29,%20uiz%20quic%20%28C%29,%20usenic%20%28Q%29%28KH%29,%20use%20mique%20%28L%29	chacra%0A-%20Por%20la%20chacra%20=%20vizquic%20na%0A-%20Hacia%20la%20chacra%20=%20vizquic%20tot%20na%20%28V%29%0A-%20Vamos%20a%20la%20chacra%20=%20amoche%20uste%20nique%20%28V%29%0A-%20Voy%20a%20la%20chacra%20=%20vizquic%20oi%C3%B1%20t%C3%A6c%20%28V%29%0A-%20De%20la%20chacra%20=%20vizquic%20quich%20%28V%29
431	%C3%A1kis%20%28B%29	chamico
432	%C3%BAsek	chante
433	sanu	chicoria,%20planta%20para%20bajar%20la%20fiebre
434	chumay%20%28RS%29,%20cocho%20%28Z%29,%20cosh%20%28V%29,%20cochi%20%28V%29%28C%29,%20coocho%20%28B%29	chicha
435	cucho%20%28K%29,%20kocho%20%28M%29,%20cuchis%20%28KH-PK%29,%20cutzhio%20%28C%29,%20kurzio%20%28M%29	chicha
436	chiclai%C3%A6p%20%28C%29,%20chaypi%20%28RS%29	Chiclayo%0A-%20Voy%20a%20Chiclayo%20=%20Chiclaiap%20oi%C3%B1%20t%C3%A6ca%20%28V%29
437	tsajven	chilco%20macho
438	kopjek	chilco%20hembra
439	mid%20%28M%29,%20mideio%20%28M%29,%20mit%20%28B%29%28SCH%29	chinche
440	masa%20%28B%29%28SCH%29	chirimoya
441	ietki%20%28M%29	chispa%0A-%20De%20la%20chispa%20=%20ietking%C3%B3%20%28M%29
442	ers%20%28L%29%28V%29,%20dserr%20%28B%29,%20manger	choclo
443	chuc%C3%A6ss%20%28C%29,%20chuc%C3%A6ssio%20%28C%29	choquezuela
444	iactum%20%28C%29	chucarrero,%20truh%C3%A1n
445	fichillco%20%28C%29,%20fichillko%20%28M%29	chunchulli%20%28chunchulas%29,%20tripillas
446	rrek,%20rrep	chupo,%20grano%20en%20la%20piel
447	m%C3%A9tan	dame
448	met%20%28C%29%28L%29,%20poi%20%28M%29	dar,%20entregar%0A%20-Dadle%20con%20un%20palo%20=%20c%C3%A6tzhcan%20puper%20%28V%29
449	c%C3%A6tzhqu%20%28C%29,%20kutsk%20%28M%29	dar,%20enviar,%20echar
450	piyc%20%28C%29,%20met%20%28L%29%28V%29%28M%29	dar,%20regalar
451	poiei%C3%B1,%20poiaz%20%28V%29	dar%20una%20cosa
452	ich	de%20%28origen%29
453	oll%C3%A6c%20ich%20%28V%29	de%20adentro
454	ci%20nich%20%28C%29	de%20ah%C3%AD%20%28adv%29
455	aii%20nich%20%28C%29	de%20all%C3%AD%20%28adv%29
456	%C3%A6p%C3%A6cna%20%28V%29	de%20antes
457	mi%20nich%20%28C%29	de%20aqu%C3%AD
458	%C3%B1uchallo%20%28C%29	de%20aqu%C3%AD%20a%20un%20poco%20%28modo%20adv%29
459	olech%20tot%20ich%20%28V%29	de%20arriba
460	ssec%C3%A6n,%20ssuk%20ich%20%28M%29,%20ssec%C3%A6n%20%28V%29	debajo
461	secc%C3%A6n%20%28C%29,%20ssek%C3%A4n%20%28M%29	debajo%20de%20%28loc.%20prep.%29%0A-%20Debajo%20de%20la%20tierra%20=%20%C3%A6izi%20ssec%C3%A6n%20%28V%29
462	tam%C3%A6n%20%28C%29,%20tam%C3%A4n%20%28M%29	de%20balde%20%28loc.%20adv.%29
463	tullpe%20%28M%29,%20tellpe	d%C3%A9bil
464	ong,%20ssop,%20c%C9%A5oquixll,%20c%C3%A6ss	decena%0A-%20Ong%20%28para%20seres%20vivos%29%0A-%20Ssop%20%28para%20inanimados%29
465	terkemssek%20%28M%29	decidia
466	ma%C3%B1ap%20%28M%29,%20ma%C3%B1%C3%A6paz%20%28C%29,%20ek%20%28M%29	decir,%20nombrar,%20pronunciar
467	eek%20%28M%29,%20eng%20%28C%29%28M%29	decir,%20creer,%20considerar%0A-%20Decir%20una%20cosa%20=%20ec%20ei%C3%B1,%20ec%20az,%20ec%20%C3%A6d%20%28V%29
468	%C2%BFi%C3%B1%20ich%3F%20%28M%29	%C2%BFde%20d%C3%B3nde%3F
469	mechse%20%28V%29,%20llem%C3%B1o%20%28C%29,%20llamno%20%28M%29	dedos
470	aiu%20ngo%20%28V%29	de%20%C3%A9l,%20de%20ella,%20de%20aquel
471	aiung%20%C3%A6no%20%28V%29	de%20ellos
472	mungo%20%28V%29	de%20este%0A-%20De%20%C3%A9stos%20=%20mang%C3%A6%20no%0A-%20Para%20estos%20=%20mung%C3%A6no%20p%C3%A6n%20%28V%29
473	%C3%B1eted%20%28B%29	defecar
474	tumanang%20%28V%29	d%C3%A9jalo%0A-%20D%C3%A9jalo%20usted%20=%20tumang%20chi%20%28V%29
475	toc%20%28C%29,%20tokn%20%28M%29	dejar
476	aie%20c%C3%A6m%20%28V%29	de%20la%20misma%20manera
477	tu%20t%C3%A6c,%20men%20tot%20%28M%29,%20totek%20%28M%29	delante%0A-%20Por%20delante%20=%20tut%C3%A6c%20%28V%29
478	chiin%20%28C%29	deleitarse
479	tsaku	delgado
480	aie%20ss%C3%A4n%20%28M%29,%20aie%C3%A7%C3%A6n%20%28C%29	del%20mismo%20modo
481	mailuc%C9%A5%20%28C%29,%20mulluch%20%28M%29	de%20madrugada
482	neizna%20%28C%29,%20neisna%20%28M%29	de%20ma%C3%B1ana%20%28loc.%20adv.%29
483	kam	demasiado
484	l%C3%A6y%C3%A6c%20an%20mac%C9%A5%20%28C%29,%20jech%C3%A4k	de%20memoria
485	m%C3%A6i%C3%B1o%20%28V%29	de%20mi
486	amos%20%28C%29,%20pissozta	de%20ninguna%20manera
487	olo,%20olp%C3%A4k,%20olpek%20%28M%29	dentro
488	nic%20%28C%29,%20nik%20%28M%29	dentro%20de,%20en%20medio%0A-%20Por%20dentro%20=%20nicna%20%28V%29,%20olp%C3%A6cna%20%28V%29
489	xllecna	de%20por%20s%C3%AD
490	coxll%20%28C%29,%20%C3%B1e%C3%B1%20%28C%29,%20%C3%B1ie%C3%B1%20%28V%29	deporte,%20jugar
491	emio%20%28V%29	de%20qu%C3%A9%20manera%20%28c%C3%B3mo%29
492	icho%20%28V%29	de%20qui%C3%A9n%0A-%20Para%20qui%C3%A9n%20=%20icho%20p%C3%A6n%20%28V%29
493	om%20jem%20%28M%29,%20ongxll%C3%A6m%20%28C%29	derecho%20%28lado%29
494	cherun%20%28M%29,%20petot%20%28M%29	derecho%20%28recto%29
495	r%C3%BCtsm%20%28M%29	derramarse,%20rebosar
496	tuctam%C3%A6n%20%28V%29,%20rip%C3%A6n%20%28C%29,%20rip%C3%A4n%20%28M%29,%20tip%C3%A4n%20%28M%29	de%20repente
497	pikassek%20%28M%29	derroche,%20largueza
498	s%C3%A9psak,%20s%C3%A9psok	desabrigo%28a%29
499	ssolei%C3%B1,%20ssol%C3%A6z,%20ss%C3%A6l%C3%A6d%20%28V%29	desatar
500	somei%C3%B1%20%28M%29	descansar%20en
501	t%C3%A6xll%20%28C%29,%20tuij%20%28M%29	descubrir,%20sacar
502	ciuqich%20na%20%28V%29	desde%20all%C3%A1
503	exllec%20ixna%20%28V%29	desde%20cuando
504	epek%20%28M%29	desde%20entonces
505	lliqu%20%28C%29,%20llik%20%28M%29	desear,%20querer%0A-%20Desear%20a%20una%20mujer%20=%20iam%20ei%C3%B1ak%20%28V%29
506	pircaf	desempleado
507	toij%20%28M%29	desenterrar
508	c%C9%A5ictuc%20%28C%29,%20chiktuk%20%28M%29	deshonesto,%20deshonesto%20en%20el%20hablar
509	chelli%20%28M%29	desigual,%20rizado
510	s%C3%A4pat%20tot	desmayar%0A-%20Ya%20se%20desmay%C3%B3%20=%20%C3%A1ngas%20s%C3%A4pat%20tot%20%28B%29
511	tzhic%20%28C%29,%20tsik%20%28M%29	desmesurado,%20indefinido
512	rog%20%28L%29,%20roj	desnudo
513	locan,%20locan%20chi%20%28V%29	despedirse%0A-%20Locan%20%28de%20uno%29%0A-%20Locan%20chi%20%28de%20varios%29
514	noksan	despu%C3%A9s%20%28adv%29
515	menk%20%28M%29	destruir
516	pucheque%20%28KH-PK%29%28Q%29,%20pucheke%20%28M%29	desvanecido
517	lequich%20%28V%29,%20tzh%C3%A6ngo%20%28V%29	de%20ti,%20de%20aquel
518	tzh%C3%A6ich%20%28C%29	de%20ustedes
519	xllon%20pecna%20p%C3%A6n	de%20veras,%20por%20cierto
520	fenchep%20%28M%29	detr%C3%A1s%0A-%20Por%20detr%C3%A1s%20=%20turquich%20%28V%29
521	llei%C3%B1%20%28M%29,%20nomei%C3%B1%20%28M%29	devorar,%20tragar
522	unam%20%28L%29%28Z%29,%20ineng%20%28C%29,%20inen%20%28M%29,%20l%C3%BCn,%20naus%20%28V%29	d%C3%ADa,%20luz
523	etim%20%28B%29	d%C3%ADa,%20luz%20del%20d%C3%ADa
524	lec%C9%A5%C3%A6c%20xllang%20%28V%29	a%20medio%20d%C3%ADa%0A-%20%C2%BFQu%C3%A9%20tal%20d%C3%ADa%3F%20=%20%C2%BFernes%20unam%3F%0A-%20El%20otro%20d%C3%ADa%20%28pasado%20ma%C3%B1ana%29%20=%20on%C3%A6c%20pelen%20%28V%29
525	purch%C3%B3pok%20%28M%29,%20porsh%C3%B3peque%20%28B%29	diablo,%20demonio
526	eng,%20%C3%A6z%20%28V%29	dices
527	uschequic%20%28L%29,%20erchequic%20%28B%29,%20%C3%A6chan%20%28B%29,%20utezan%20%28Bas%29	dientes
528	eng%20ei%C3%B1%20%28V%29	digo
529	jiay%20%28RS%29%28V%29,%20jiai%20%28L%29%28Z%29,%20jiaiy%20%28Q%29,%20xllaxll%20%28C%29	dinero
530	yos%20%28Mar%29,%20Diosi%20%28M%29,%20Dios	Dios%0A-%20Por%20Dios%20=%20Dios%20tim,%20Dios%20tim%20na%20%28V%29%0A-%20Hijo%20de%20Dios%20=%20Diosi%20eiz%0A-%20Ni%C3%B1o%20Dios%20=%20Chijllu%20%28M%29%0A-%20Madre%20de%20Dios%20=%20Diosi%20eng%0A-%20Anda%20con%20Dios%20=%20t%C3%BCtan%20Dios%20tana%0A-%20Dios%20est%C3%A1%20en%20vuestro%20coraz%C3%B3n%20=%20Dios%20maz%20fil%20c%C3%A6m%20polenic%0A-%20Seg%C3%BAn%20el%20mandato%20de%20Dios%20=%20Diosi%20ssap%20man
531	shi%20%28B%29	diosa,%20luna
532	cherun%20%28M%29	directo
533	chuk%20%28M%29,%20ch%C3%A9run%20%28M%29	dirigir%0A-%20Dirigir%20la%20atenci%C3%B3n%20=%20t%C3%A4m
534	efkossek	disculpe
535	menk%20kuj	disenter%C3%ADa
536	amoz%20t%C3%A6cpa%20pol%C3%A6ng	disgusto,%20no%20tengas%20disgusto
537	grelis%20%28RS%29	disimulando
538	jum%20%28M%29	disminuir
539	col%20%28C%29,%20koj%20%28M%29	disputarse,%20re%C3%B1ir
540	chin%20%28M%29	divertirse
541	rrek,%20rrep	divieso,%20grano%20en%20la%20piel%20%28chupo%29
542	alec%20pong	divinidad%20%28en%20piedra%29
543	ch%C3%A4p%20%28M%29	doblar
544	rr%C3%B3nom%20%28M%29	doler
545	rronom%C3%A7%C3%A6c%20%28C%29,%20ronomcec%20%28M%29	dolor%0A-%20%C2%BFTe%20duele%3F%20=%20%C2%BFronampa%3F%0A-%20%C2%BFTe%20duele%20la%20mano%3F%20=%20%C2%BFmodsa%20ronampa%3F%0A-%20No%20tengas%20dolor,%20pena%20=%20amoz%20t%C3%A6cpa%20pol%C3%A6ng
546	farrek,%20fark%20%28B%29,%20nak%C3%ADnen	domingo
547	chiz%C3%A6r%20%28C%29	don,%20gracia,%20bien
548	pika%20ss%C3%A4k%20%28M%29	donativo,%20liberalidad
549	i%C3%B1ikuk,%20i%C3%B1icuc	doncella
550	i%C3%B1ikuk%20ich%20ll%C3%A4r	doncella%20de%20la%20paz
551	ininki%20%28M%29	donde
552	in%20%28M%29	%C2%BFd%C3%B3nde%3F%20%28pron.%20interr.%29%0A-%20%C2%BFDe%20d%C3%B3nde%20vienes%3F%20=%20%C2%BFin%20ichozta%3F%0A-%20%C2%BFHacia%20d%C3%B3nde%20vas%3F%20=%20%C2%BFintot%20naz%20t%C3%A6c%3F%20%28V%29
553	%C2%BFinas%20lok%3F	%C2%BFd%C3%B3nde%20est%C3%A1s%3F%0A-%20En%20donde%20est%C3%A1%20=%20inang%20loc%20%28M%29%0A-%20A%20donde%20ti%20=%20tzh%C3%A6ng%20lec
554	%C3%A7iadcu%20%28C%29,%20%C3%A7iadka	dormil%C3%B3n%0A-%20Todav%C3%ADa%20duerme%20=%20chipang%20ciad
555	siad%20%28M%29,%20jiad%20%28RS%29%28L%29%28Q%29%28Z%29,%20j%C3%ADa%20%28K%29	dormir%0A-%20Ya%20est%C3%A1%20durmiendo%20=%20ciada%20c%C9%A5%C3%A6m%20ang%20%28V%29
556	apute%20%28KOS%29,%20aput%20%28L%29,%20apud%20%28V%29	dos
557	jep%C3%A4k%20%28M%29,%20jupak%20%28M%29,%20jupk%C3%A4r%C3%B3	due%C3%B1o
558	cu%C3%B1%20cu%C3%B1%20%28B%29,%20ko%C3%B1ik%20%28M%29	dulce
559	fanang%20%28M%29	durante
560	kuj%20jang%20%28M%29	durante%20la%20puesta%20del%20sol
561	churr%20%28M%29,%20tsurr%20%28M%29,%20pupo	duro,%20fuerte
562	c%C3%A6tzhqu%20%28C%29,%20kutsk%20%28M%29	echar,%20dar,%20enviar
563	sok%20%28M%29,%20k%C3%B6ts%20%28B%29	echar
564	apiss%C3%A4k%20%28M%29,%20apissk%C3%A4ro%20%28M%29	educaci%C3%B3n,%20instrucci%C3%B3n
565	jom%20p%C3%A4k	efectivamente,%20en%20efecto
566	machko%20%28M%29,%20mac%C9%A5co%20%28C%29	efectuar,%20cumplir
567	chepmong%20%28M%29,%20ch%C3%A4pmong%20%28M%29	efigie,%20imagen,%20retrato
568	ching,%20ai%20of	%C3%A9l%20es.%20%0A-%20Ai%20of%20=%20s%C3%ADncopa%20de%20aio%20fe%20%28V%29
569	chip%C3%A6c%20%28V%29	%C3%A9l%20que%20es
570	xllipc%C3%A6p%C3%A6c%20%28C%29,%20xllipc%C3%A6pc%C3%A6ro%20%28C%29	%C3%A9l%20que%20habla
571	hecha%20guara%20%28RS%29	est%C3%A1%20elegante
572	chijllu%20%28M%29,%20c%C9%A5umep%20%28C%29	elegido,%20ni%C3%B1o%20Dios
573	sak%20%28M%29	elegir%20%28en%20elecciones%29
574	ciong%20%C3%A6n	ellos%0A-%20Para%20ellos%20=%20ciung%20%C3%A6no
575	secfane%20%28PK%29,%20sec%20secfane%20%28L%29%28Q%29,%20po%C3%B1%20%28M%29	embarazada,%20col%C3%A9rica
576	chum%20%28M%29,%20c%C9%A5%C3%A6mep%20%28C%29,%20c%C9%A5umep%20%28C%29	emborracharse
577	folei%C3%B1%20%28M%29,%20foi	empoliar
578	nuk%20%28M%29	empujar
579	nik%20%28M%29	en%0A-%20En%20aquel%20entonces%20=%20ssi%C3%A9%20jek%20%28M%29
